rows,mode,workload,engine,block,run,elapsed_ms,cpu_ms,output_rows,validated,execute_roundtrip_ms,fetch_dataframe_ms,query_id,server_total_ms,server_compilation_ms,server_execution_ms,server_provisioning_queue_ms,server_overload_queue_ms,server_bytes_scanned
100000,parquet,filter_project,duckdb,1,4,2.491292,2.537,19886,True,,,,,,,,,
100000,parquet,filter_project,duckdb,1,5,2.324084,2.374,19886,True,,,,,,,,,
10000000,memory,groupby,duckdb,1,1,14.2295,54.175,50,True,,,,,,,,,
10000000,memory,groupby,duckdb,1,2,15.859833,60.309,50,True,,,,,,,,,
10000000,memory,groupby,duckdb,1,3,15.783834,56.783,50,True,,,,,,,,,
10000000,memory,groupby,duckdb,1,4,15.013084,56.467,50,True,,,,,,,,,
10000000,memory,groupby,duckdb,1,5,16.039875,60.949,50,True,,,,,,,,,
10000000,memory,groupby,pandas,1,1,67.313625,66.888,50,True,,,,,,,,,
10000000,memory,groupby,pandas,1,2,62.838917,62.744,50,True,,,,,,,,,
10000000,memory,groupby,pandas,1,3,62.945667,62.884,50,True,,,,,,,,,
10000000,memory,groupby,pandas,1,4,61.959791,61.869,50,True,,,,,,,,,
10000000,memory,groupby,pandas,1,5,61.7295,61.635,50,True,,,,,,,,,
10000000,parquet,groupby,pandas,1,1,88.935875,149.393,50,True,,,,,,,,,
10000000,parquet,groupby,pandas,1,2,83.04575,141.654,50,True,,,,,,,,,
10000000,parquet,groupby,pandas,1,3,82.86675,142.014,50,True,,,,,,,,,
10000000,parquet,groupby,pandas,1,4,82.642125,143.145,50,True,,,,,,,,,
10000000,parquet,groupby,pandas,1,5,81.683917,137.24,50,True,,,,,,,,,
10000000,parquet,groupby,duckdb,1,1,29.119292,109.369,50,True,,,,,,,,,
10000000,parquet,groupby,duckdb,1,2,29.933459,112.235,50,True,,,,,,,,,
10000000,parquet,groupby,duckdb,1,3,29.974625,111.893,50,True,,,,,,,,,
10000000,parquet,groupby,duckdb,1,4,30.082042,112.818,50,True,,,,,,,,,
10000000,parquet,groupby,duckdb,1,5,30.13825,113.616,50,True,,,,,,,,,
1000000,parquet,clean_derive,pandas,1,1,9.740666,21.635,1000000,True,,,,,,,,,
1000000,parquet,clean_derive,pandas,1,2,8.964459,19.685,1000000,True,,,,,,,,,
1000000,parquet,clean_derive,pandas,1,3,8.817208,20.089,1000000,True,,,,,,,,,
1000000,parquet,clean_derive,pandas,1,4,8.878208,19.23,1000000,True,,,,,,,,,
1000000,parquet,clean_derive,pandas,1,5,9.205333,20.352,1000000,True,,,,,,,,,
1000000,parquet,clean_derive,duckdb,1,1,8.6195,25.198,1000000,True,,,,,,,,,
1000000,parquet,clean_derive,duckdb,1,2,8.367916,24.44,1000000,True,,,,,,,,,
1000000,parquet,clean_derive,duckdb,1,3,9.758833,28.941,1000000,True,,,,,,,,,
1000000,parquet,clean_derive,duckdb,1,4,9.057875,27.68,1000000,True,,,,,,,,,
1000000,parquet,clean_derive,duckdb,1,5,8.754042,25.037,1000000,True,,,,,,,,,
1000000,warehouse,filter_project,snowflake,1,1,388.858833,34.454,198279,True,332.686791,56.172042,01c6f1d0-0001-fe0c-0001-9ade000af8c6,265.0,55.0,210.0,0.0,0.0,7627264.0
1000000,warehouse,filter_project,snowflake,1,2,451.625166,31.909,198279,True,370.0465,81.578666,01c6f1d0-0001-fcf8-0001-9ade000aa3de,309.0,39.0,270.0,0.0,0.0,7627264.0
1000000,warehouse,filter_project,snowflake,1,3,415.991667,36.736,198279,True,358.826209,57.165458,01c6f1d0-0001-fe0c-0001-9ade000af8ca,282.0,57.0,225.0,0.0,0.0,7627264.0
1000000,warehouse,filter_project,snowflake,1,4,426.933167,29.86,198279,True,369.931209,57.001958,01c6f1d0-0001-fe0c-0001-9ade000af8ce,293.0,66.0,227.0,0.0,0.0,7627264.0
1000000,warehouse,filter_project,snowflake,1,5,483.402917,32.477,198279,True,423.948792,59.454125,01c6f1d0-0001-fe0c-0001-9ade000af8d2,288.0,67.0,221.0,0.0,0.0,7627264.0
1000000,parquet,join_groupby,pandas,1,1,36.916583,45.554,200,True,,,,,,,,,
1000000,parquet,join_groupby,pandas,1,2,36.72025,45.894,200,True,,,,,,,,,
1000000,parquet,join_groupby,pandas,1,3,36.952542,44.932,200,True,,,,,,,,,
1000000,parquet,join_groupby,pandas,1,4,33.254708,41.765,200,True,,,,,,,,,
1000000,parquet,join_groupby,pandas,1,5,33.171959,41.326,200,True,,,,,,,,,
1000000,parquet,join_groupby,duckdb,1,1,8.385459,22.641,200,True,,,,,,,,,
1000000,parquet,join_groupby,duckdb,1,2,8.06625,20.587,200,True,,,,,,,,,
1000000,parquet,join_groupby,duckdb,1,3,8.381125,22.808,200,True,,,,,,,,,
1000000,parquet,join_groupby,duckdb,1,4,8.749791,21.307,200,True,,,,,,,,,
1000000,parquet,join_groupby,duckdb,1,5,8.679792,23.873,200,True,,,,,,,,,
100000,memory,clean_derive,duckdb,1,1,1.783959,2.754,100000,True,,,,,,,,,
100000,memory,clean_derive,duckdb,1,2,1.742375,2.693,100000,True,,,,,,,,,
100000,memory,clean_derive,duckdb,1,3,1.805958,1.844,100000,True,,,,,,,,,
100000,memory,clean_derive,duckdb,1,4,1.666917,2.631,100000,True,,,,,,,,,
100000,memory,clean_derive,duckdb,1,5,2.10625,2.156,100000,True,,,,,,,,,
100000,memory,clean_derive,pandas,1,1,0.621458,0.631,100000,True,,,,,,,,,
