rows,workload,path,n,mean_ms,std_ms,median_ms,min_ms,max_ms
1000000000,groupby,duckdb,30,2824.6480237,54.49552202676029,2806.247271,2758.711125,2924.915708
1000000000,groupby,pandas,30,18910.986998533335,995.2719600619218,18515.774562,17860.400875,21092.861125
1000000000,groupby,snowflake_large,30,433.1,18.5497467219441,431.0,402.0,484.0
1000000000,groupby,snowflake_medium,30,727.9,40.4136798280159,719.5,641.0,803.0
1000000000,groupby,snowflake_small,30,1227.7333333333333,68.71276212000882,1218.0,1119.0,1445.0
1000000000,groupby,snowflake_xsmall,30,2268.0333333333333,101.99069711915187,2278.5,2081.0,2434.0
1000000000,join_groupby,duckdb,30,4821.425868033333,1044.298024602413,4192.484812000001,4088.736167,6617.929958
1000000000,join_groupby,pandas,30,57745.14695273333,3594.881378386087,56256.8025625,54494.614625,64492.38375
1000000000,join_groupby,snowflake_large,30,945.8,45.23151174980131,925.5,907.0,1092.0
1000000000,join_groupby,snowflake_medium,30,1624.6666666666667,103.45658204201457,1589.5,1491.0,1910.0
1000000000,join_groupby,snowflake_small,30,2838.5333333333333,109.6419669631124,2834.5,2659.0,3145.0
1000000000,join_groupby,snowflake_xsmall,30,5283.033333333334,259.38115786901574,5232.5,5031.0,6237.0
