query_id,client_execute_roundtrip_ms,output_rows,validation,server_total_ms,server_compilation_ms,server_execution_ms,server_provisioning_queue_ms,server_overload_queue_ms,server_bytes_scanned,elapsed_ms,path,rows,workload,block,run,metric_scope,cpu_ms,input_ms,output_bytes,output_batches,checksum,type,block_peak_rss_bytes
01c6f2c2-0001-fcf8-0001-9ade000ba756,462.923542,10000,row-count; full checksum query before block,376.0,302.0,74.0,0.0,0.0,95232.0,376.0,snowflake_small,10000,clean_derive,1,1,platform_query,,,,,,,
01c6f2c2-0001-fe0c-0001-9ade000b9e66,163.104333,10000,row-count; full checksum query before block,105.0,38.0,67.0,0.0,0.0,95232.0,105.0,snowflake_small,10000,clean_derive,1,2,platform_query,,,,,,,
01c6f2c2-0001-fcf8-0001-9ade000ba762,79.837375,50,row-count; full checksum query before block,58.0,34.0,24.0,0.0,0.0,10240.0,58.0,snowflake_small,1000,groupby,1,1,platform_query,,,,,,,
01c6f2c2-0001-fe0c-0001-9ade000b9e6e,75.937667,50,row-count; full checksum query before block,53.0,36.0,17.0,0.0,0.0,10240.0,53.0,snowflake_small,1000,groupby,1,2,platform_query,,,,,,,
01c6f2c2-0001-fe0c-0001-9ade000b9e7a,88.851,50,row-count; full checksum query before block,65.0,47.0,18.0,0.0,0.0,973312.0,65.0,snowflake_small,100000,groupby,1,1,platform_query,,,,,,,
01c6f2c2-0001-fe0c-0001-9ade000b9e7e,85.937333,50,row-count; full checksum query before block,61.0,42.0,19.0,0.0,0.0,973312.0,61.0,snowflake_small,100000,groupby,1,2,platform_query,,,,,,,
01c6f2c2-0001-fcf8-0001-9ade000ba776,64.932583,189,row-count; full checksum query before block,42.0,30.0,12.0,0.0,0.0,10240.0,42.0,snowflake_small,1000,filter_project,1,1,platform_query,,,,,,,
01c6f2c2-0001-fe0c-0001-9ade000b9e86,69.296125,189,row-count; full checksum query before block,49.0,38.0,11.0,0.0,0.0,10240.0,49.0,snowflake_small,1000,filter_project,1,2,platform_query,,,,,,,
01c6f2c2-0001-fe0c-0001-9ade000b9e8e,125.016708,200,row-count; full checksum query before block,87.0,52.0,35.0,0.0,0.0,1211904.0,87.0,snowflake_small,100000,join_groupby,1,1,platform_query,,,,,,,
01c6f2c2-0001-fe0c-0001-9ade000b9e92,140.618417,200,row-count; full checksum query before block,88.0,55.0,33.0,0.0,0.0,1211904.0,88.0,snowflake_small,100000,join_groupby,1,2,platform_query,,,,,,,
