rows,mode,workload,engine,block,run,elapsed_ms,cpu_ms,output_rows,validated
10000000,memory,clean_derive,pandas,2,10,28.801209,28.78,10000000,True
10000000,memory,clean_derive,duckdb,2,6,37.642417,116.907,10000000,True
10000000,memory,clean_derive,duckdb,2,7,37.361208,116.87,10000000,True
10000000,memory,clean_derive,duckdb,2,8,38.018083,117.656,10000000,True
10000000,memory,clean_derive,duckdb,2,9,37.459125,116.908,10000000,True
10000000,memory,clean_derive,duckdb,2,10,37.172,116.993,10000000,True
1000000,parquet,groupby,pandas,2,6,13.080167,20.761,50,True
1000000,parquet,groupby,pandas,2,7,12.053875,17.815,50,True
1000000,parquet,groupby,pandas,2,8,11.728958,18.189,50,True
1000000,parquet,groupby,pandas,2,9,11.433291,17.033,50,True
1000000,parquet,groupby,pandas,2,10,11.461583,17.694,50,True
1000000,parquet,groupby,duckdb,2,6,4.378,12.748,50,True
1000000,parquet,groupby,duckdb,2,7,4.192584,12.351,50,True
1000000,parquet,groupby,duckdb,2,8,4.379792,12.603,50,True
1000000,parquet,groupby,duckdb,2,9,4.583917,12.859,50,True
1000000,parquet,groupby,duckdb,2,10,4.304042,12.363,50,True
